ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (lbs)","Length (in)","Width (in)","Height (in)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 1 default","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 2 default","Meta: wpr_secondary_image_id","Meta: site-sidebar-layout","Meta: ast-site-content-layout","Meta: site-content-style","Meta: site-sidebar-style","Meta: theme-transparent-header-meta","Meta: _eael_post_view_count","Meta: astra-migrate-meta-layouts","Meta: _wc_facebook_sync_enabled_v2","Meta: fb_visibility","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 4 name","Attribute 4 value(s)","Attribute 4 visible","Attribute 4 global","Attribute 4 default","Meta: fb_size","Attribute 3 default","Attribute 5 name","Attribute 5 value(s)","Attribute 5 visible","Attribute 5 global","Attribute 5 default","Attribute 6 name","Attribute 6 value(s)","Attribute 6 visible","Attribute 6 global","Meta: _wc_facebook_product_image_source","Meta: fb_mpn","Meta: fb_product_image","Meta: fb_product_images","Meta: fb_product_price"
3272,variable,,,"Standard Retractable Banner",1,0,visible,"Standard retractable banner stands are the perfect balance of strength and durability as your customers are able to easily set up, take down, and transport this product from one event to another.","Standard retractable banner stands are the perfect balance of strength and durability as your customers are able to easily set up, take down, and transport this product from one event to another.",,,taxable,,1,,,0,0,,,,,1,,,,Banners,,,https://wheat-fox-641937.hostingersite.com/wp-content/uploads/2025/11/PR_1246-01_RetractableBanner.png,,,,,,,,,0,,Turnaround,"4 Business Days",1,0,"4 Business Days",Size,"80"" x 33""",1,0,"80"" x 33""",0,default,default,default,default,default,77,set,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,
3336,variable,,,"Standard Business Cards",1,0,visible,"Printed on superior uncoated stock, standard business cards are available in a wide variety of specs, sizes, and quantities with optional UV coating.","Printed on superior uncoated stock, standard business cards are available in a wide variety of specs, sizes, and quantities with optional UV coating.",,,taxable,,1,,,0,0,,,,,1,,,,"Business Cards",,,https://wheat-fox-641937.hostingersite.com/wp-content/uploads/2025/08/bI.webp,,,,,,,,,0,,Finish,"UV Coated, Matte",1,0,,"Need Design","Yes\, I need a design, No\, I have a design",1,0,"Yes, I need a design",0,default,default,default,default,default,88,set,yes,yes,Quanity,"250, 500, 1000, 2500",1,0,Turnaround,"2-4 Business Days",1,0,"2-4 Business Days",,,,,,,,,,,,,,,,
3383,variable,,,"X-Style Collapsible Outdoor Banner",1,0,visible,"These versatile and economical stands set up in seconds, with a grommeted banner printed in near photo quality on 13oz outdoor scrim vinyl! Banners are easily interchangeable and the unit comes with a slim carrying bag.","These versatile and economical stands set up in seconds, with a grommeted banner printed in near photo quality on 13oz outdoor scrim vinyl! Banners are easily interchangeable and the unit comes with a slim carrying bag.",,,taxable,,1,,,0,0,11,,,,1,,,,Banners,,,https://wheat-fox-641937.hostingersite.com/wp-content/uploads/2025/11/PR_1235-01.png,,,,,,,,,0,,Size,"24 x 36",1,0,"24 x 36",Turnaround,"2-4 Business Days",1,0,"2-4 Business Days",0,default,default,default,default,default,79,set,yes,yes,,,,,,,,,,"24 x 36",,,,,,,,,,,,,,,
3387,variable,,,"Backdrop Banner Stands",1,0,visible,"Telescopic backdrop banner stands bring in the wow factor when it comes to brand recognition for any event. Custom-printed, full-color graphics are printed on durable scrim vinyl for easy cleaning to keep logos always looking fresh.","Telescopic backdrop banner stands bring in the wow factor when it comes to brand recognition for any event. Custom-printed, full-color graphics are printed on durable scrim vinyl for easy cleaning to keep logos always looking fresh.",,,taxable,,1,,,0,0,,,,,1,,,,Banners,,,https://wheat-fox-641937.hostingersite.com/wp-content/uploads/2025/11/PR_1227-01.png,,,,,,,,,0,,Size,"95"" x 96""",1,0,"95"" x 96""",Stock,"130z Scrim Vinyl (Outdoor)",1,0,"130z Scrim Vinyl (Outdoor)",0,default,default,default,default,default,70,set,yes,yes,Turnaround,"4 Business Days",1,0,,,,,,"95"" x 96""","4 Business Days",,,,,,,,,,,,,,
3390,variable,,,"Standard Magnets",1,0,visible,"Help small businesses remind customers of business hours, upcoming sales, and more.","Standard magnets make for vibrant, low-cost messaging tools that don’t get thrown away. Perfect for thank-yous, save-the dates, or upgrading traditional business cards. Help small businesses remind customers of business hours, upcoming sales, and more.",,,taxable,,1,,,0,0,,,,,1,,,,Magnets,,,https://wheat-fox-641937.hostingersite.com/wp-content/uploads/2025/11/PR_3191-01-1.png,,,,,,,,,0,,Quanity,"75, 100, 150, 200",1,0,,Size,"3.5"" x 2""",1,0,"3.5"" x 2""",0,default,default,default,default,default,56,set,yes,yes,Turnaround,"4 Business Days",1,0,,,,,,"3.5"" x 2""","4 Business Days",,,,,,,,,,,,,,
3417,variable,,,"Car Door Magnets",1,0,visible,"Car door magnets are ideally suited for vehicles but can also be used on other surfaces like temporary signs at construction sites or any other changing work environments where metal surfaces are present.","Standard magnets make for vibrant, low-cost messaging tools that don’t get thrown away. Perfect for thank-yous, save-the dates, or upgrading traditional business cards. Help small businesses remind customers of business hours, upcoming sales, and more.",,,taxable,,1,,,0,0,,,,,1,,,,Magnets,,,https://wheat-fox-641937.hostingersite.com/wp-content/uploads/2025/11/car-magnets.webp,,,,,,,,,0,,Stock,"30mil Magnet",1,0,"30mil Magnet",Finish,"UV Coating",1,0,"UV Coating",0,default,default,default,default,default,52,set,yes,yes,Size,"12"" x 24"" (Compact Cars), 18"" x 24"" (Medium Sized), 18"" x 36"" (Trucks/Vans)",1,0,Turnaround,"4 Business Days",1,0,"4 Business Days","12"" x 24"" (Compact Cars) | 18"" x 24"" (Medium Sized) | 18"" x 36"" (Trucks/Vans)","18"" x 24"" (Medium Sized)",,,,,,,,,,,,,,
3422,variable,,,Tablecloths,1,0,visible,"Fully customizable across the entire surface, branded tablecloths add a finished, professional look to table displays, trade show booths, and more. Available in several sizes, they are wrinkle-resistant and machine washable.","Fully customizable across the entire surface, branded tablecloths add a finished, professional look to table displays, trade show booths, and more. Available in several sizes, they are wrinkle-resistant and machine washable.",,,taxable,,1,,,0,0,,,,,1,,,,"Large Format",,,https://wheat-fox-641937.hostingersite.com/wp-content/uploads/2025/11/PR_1240-01-1.png,,,,,,,,,0,,Size,"68"" x 132"", 68"" x 156"", 90"" x 132"", 90"" x 136""",1,0,"68"" x 132""",Stock,"9oz Premium Polyester",1,0,"9oz Premium Polyester",0,default,default,default,default,default,146,set,yes,yes,"Thread Color","Black Thread, White Thread",1,0,Turnaround,"4 Business Days",1,0,,"68"" x 132"" | 68"" x 156"" | 90"" x 132"" | 90"" x 136""","White Thread",,,,,,,,,,,,,,
3434,variable,,,"4x6 Table Tents",1,0,visible,"Ideal product for special promotions, restaurant menus and much more.","Ideal product for special promotions, restaurant menus and much more.",,,taxable,,1,,,0,0,,,,,1,,,,Magnets,,,https://wheat-fox-641937.hostingersite.com/wp-content/uploads/2025/11/PR_3195-01-scaled.png,,,,,,,,,0,,Quanity,"75, 100, 250, 500",1,0,,Size,"4"" x 6""",1,0,"4"" x 6""",0,default,default,default,default,default,49,set,yes,yes,Stock,14pt,1,0,Finish,"No Coating",1,0,"No Coating","4"" x 6""",14pt,Turnaround,"4 Business days",1,0,,,,,,,,,,
3444,variable,,,"Sidewalk Signs",1,0,visible,"<span style=""font-size: 16px;"">Sidewalk Signs are the perfect, portable promotional signage for all-weather outdoor use.</span>","Sidewalk Signs are the perfect, portable promotional signage for all-weather outdoor use. Made of durable plastic, in 3 unique and popular sizes, frames pair with interchangeable 4mm Coroplast inserts.\n\n&nbsp;\n\n&nbsp;",,,taxable,,1,,,0,0,,,,,1,,,,Signs,,,https://wheat-fox-641937.hostingersite.com/wp-content/uploads/2025/11/PR_1231-01.png,,,,,,,,,0,,Size,"24"" x 18""",1,0,,Stock,"4mm White Coroplast",1,0,,0,default,default,default,default,default,24,set,yes,yes,Turnaround,"4 Business Days",1,0,,,,,,"24"" x 18""",,,,,,,,,,,,,,,
3475,variable,,,Postcards/Flyers,1,0,visible,"Printed on premium quality card stock, Postcards are a durable, versatile tool for attracting new business, promoting new deals, and keeping in touch with clients. Stand out in the mail with our next-level range of sizes, stocks and finishes.","Printed on premium quality card stock, Postcards are a durable, versatile tool for attracting new business, promoting new deals, and keeping in touch with clients. Stand out in the mail with our next-level range of sizes, stocks and finishes.",,,taxable,,1,,,0,0,,,,,1,,,,Postcards,,,https://wheat-fox-641937.hostingersite.com/wp-content/uploads/2025/11/PR_3211-01_Postcard.png,,,,,,,,,0,,Finish,"UV Coated, Matte",1,0,"UV Coated","Need Design","Yes\, I need a design., No\, I have a design.",1,0,"Yes, I need a design.",0,default,default,default,default,default,328,set,yes,yes,Quanity,"250, 500, 1000, 2500",1,0,Size,"4"" x 6"", 5""x 8"", 4"" x 4""",1,0,"4"" x 6""","4"" x 6"" | 5""x 8"" | 4"" x 4""",500,Cardstock,16pt,1,0,16pt,Turnaround,"2-4 Business Days",1,0,,,,,
